DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column,Region,Divison,State,Region Rank,Divison Rank
292,HEART FAILURE & SHOCK W CC,KS,Topeka,KS - Topeka,16,23052.13,5559.69,4856.44,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KS,Topeka,KS - Topeka,194,25786.24,6275.84,5161.89,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KS,Topeka,KS - Topeka,13,10627.54,8732.54,8154.38,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,20,16042.85,6120.4,4501.35,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,MO,Kansas City,MO - Kansas City,119,31081.43,5770.97,4955.45,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,22,12772.55,7144.27,6138.14,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,MO,Kansas City,MO - Kansas City,23,15718.04,6548.26,5518.87,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,12,16865.5,6166.5,5333.83,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,127,30817.54,6798.21,5267.84,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,83,45271.24,7473.87,5852.49,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,MO,Kansas City,MO - Kansas City,47,14583.7,6010.04,5002.53,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,KS,Topeka,KS - Topeka,22,14944.5,5627.05,5003.05,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,OK,Tulsa,OK - Tulsa,31,12815.16,5562.29,4755.06,6,5,South,South - West South Central,Oklahoma,3,7
292,HEART FAILURE & SHOCK W CC,MO,Kansas City,MO - Kansas City,51,21425.12,5771.22,4956.82,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,11,10783.91,6405.73,5607.91,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,21,22009.05,6618.86,5860.14,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,MO,Kansas City,MO - Kansas City,29,50902.86,7037.21,5938.24,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,MO,Kansas City,MO - Kansas City,51,45232.75,5475.59,4358.53,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,MO,Kansas City,MO - Kansas City,70,35618.34,5181.24,4506.04,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,53,9581.06,5031.19,4110.66,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,39,10104.05,4906.44,4163.18,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KS,Wichita,KS - Wichita,14,25614.29,5615.64,3699.21,5,5,Midwest,Midwest-West North Central,Kansas,2,4
292,HEART FAILURE & SHOCK W CC,KY,Covington,KY - Covington,60,16842.92,6315.7,4579.32,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,51,22150.25,5479.59,4633.31,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,TN,Nashville,TN - Nashville,11,18395.91,6046.09,5313.36,5,8,South,South - East South Central,Tennessee,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,30,13622.77,6091.87,5028.63,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,WV,Huntington,WV - Huntington,153,18529.73,6158.71,5108.11,4,9,South,South Atlantic,West Virginia,3,5
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,77,17591.17,5742.62,4566.65,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,42,18502.29,6170.86,5398.19,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,131,12219.38,5752.17,4872.98,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,TN,Nashville,TN - Nashville,119,22458.55,6225.4,5282.21,5,8,South,South - East South Central,Tennessee,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,20,19993.75,5832.25,5016.9,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,63,12553.29,6306.56,5062.32,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,46,10917.11,6027.09,4904.28,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,16,16697.88,5498.13,4749.88,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,TN,Knoxville,TN - Knoxville,14,19595.71,5633.86,4764.21,5,8,South,South - East South Central,Tennessee,3,6
292,HEART FAILURE & SHOCK W CC,TN,Knoxville,TN - Knoxville,24,9518.92,5870.21,4530.33,5,8,South,South - East South Central,Tennessee,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,26,21571.65,5712.19,4943.58,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Paducah,KY - Paducah,27,17802.3,5343.33,4124.96,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,67,20757.67,6366.06,5241.66,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Covington,KY - Covington,173,22905.45,6753.38,5174.97,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,WV,Huntington,WV - Huntington,55,19594.56,6081.33,5092.16,4,9,South,South Atlantic,West Virginia,3,5
292,HEART FAILURE & SHOCK W CC,KY,Owensboro,KY - Owensboro,156,15800.02,7139.65,6124.54,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,201,22198.97,7213.05,5687.16,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,22,18502.0,6706.41,6307.5,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,131,36599.78,7509.11,6689.06,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Covington,KY - Covington,89,18501.16,5922.91,4930.78,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,53,17936.62,5828.96,4950.38,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,59,15189.22,5772.34,5098.83,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,TN,Nashville,TN - Nashville,33,15894.15,5357.24,4144.15,5,8,South,South - East South Central,Tennessee,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,17,12452.76,6096.18,4933.65,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,IN,Evansville,IN - Evansville,41,24312.71,6103.15,5110.2,3,8,Midwest,Midwest-East North Central,Indiana,2,3
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,63,26396.16,10252.81,7082.0,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,68,20848.62,5972.1,5175.43,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Louisville,KY - Louisville,52,15652.42,5451.38,4476.48,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,15,65147.53,5951.13,5287.93,4,8,South,South - East South Central,Kentucky,3,6
292,HEART FAILURE & SHOCK W CC,KY,Lexington,KY - Lexington,11,12601.09,5403.36,4587.73,4,8,South,South - East South Central,Kentucky,3,6
